discount,previous_purchases,session_time,clicks,pages_viewed,purchase,amount_spent
0.4437896357947709,1,10.2263,7,4,1,66.1673
0.41575925635649447,2,34.2903,21,13,1,58.9465
0.43407631835104554,1,11.5901,3,0,1,61.5773
0.3675651512331669,1,13.9418,8,3,1,71.7898
0.06589486233322317,3,1.0,0,0,1,129.5341
0.03180586230681348,2,1.0,1,2,0,0.0
0.03231478063344273,2,1.0877,0,1,1,41.8659
0.4008898000283648,6,10.6309,6,3,1,52.7833
0.32855878810529676,1,13.9999,7,3,1,72.1434
0.49049218244417475,0,8.7321,5,4,1,42.4605
0.3217541324211189,4,6.3454,8,3,1,94.4897
0.12463171041007814,3,4.3733,1,0,0,0.0
0.04475714513523538,2,1.0,3,2,1,114.1145
0.18279980150013303,2,3.7888,3,2,1,103.9395
0.09984814376479495,1,7.0316,1,0,0,0.0
0.3141976806604605,2,5.4618,3,1,1,32.8066
0.047981409181530266,2,1.0,0,1,1,94.6909
0.386255285905427,3,7.8783,6,0,1,44.4993
0.3482753379803545,3,7.1941,1,2,1,102.9201
0.36817894693726877,4,6.7631,4,4,1,58.1369
0.48273848412944864,3,6.8631,3,1,1,78.2358
0.3252800234024008,2,12.6954,4,2,1,39.0775
0.3942762067778851,5,9.5595,2,0,1,55.1348
0.042652270340187315,1,4.4651,2,3,0,0.0
0.4715453111507858,0,6.0436,1,0,1,88.0155
0.10928644708623747,7,1.0,1,1,1,73.4953
0.24652540702626602,1,6.4064,6,2,1,40.1481
0.47854718977503097,0,9.7203,1,0,1,59.4107
0.08968177032816527,2,4.6283,4,5,1,106.6469
0.017753495747497183,2,5.1651,1,1,1,150.6462
0.14853209608202372,1,8.8291,5,2,1,109.8649
0.07818777716803021,4,5.1237,2,2,1,95.9414
0.33401520132753953,1,11.6903,3,1,1,84.05
0.1391873090447297,2,4.3807,1,1,1,48.6769
0.03141965808254993,2,1.0,0,0,1,113.2029
0.44651176314717134,5,8.357,7,0,1,58.8208
0.024737427418616953,2,4.188,0,0,0,0.0
0.1356356075771506,3,1.6605,1,1,1,102.0336
0.12014720996511419,1,4.9697,2,1,1,76.3809
